,Id,AirTemperature
0,0.0,-2.5
1,1.0,-2.4
2,2.0,-2.3
3,3.0,-2.2
4,4.0,-2.1
5,5.0,-2.0
6,6.0,-1.9
7,7.0,-1.8
8,8.0,-1.7
9,9.0,-1.6
10,10.0,-1.5
11,11.0,-1.4
12,12.0,-1.3
13,13.0,-1.2
14,14.0,-1.1
15,15.0,-1.0
16,16.0,-0.9
17,17.0,-0.8
18,18.0,-0.7
19,19.0,-0.6
20,20.0,-0.5
21,21.0,-0.4
22,22.0,-0.3
23,23.0,-0.2
24,24.0,-0.1
25,25.0,0.0
26,26.0,0.1
27,27.0,0.2
28,28.0,0.3
29,29.0,0.4
30,30.0,0.5
31,31.0,0.6
32,32.0,0.7
33,33.0,0.8
34,34.0,0.9
35,35.0,1.0
36,36.0,1.1
37,37.0,1.2
38,38.0,1.3
39,39.0,1.4
40,40.0,1.5
41,41.0,1.6
42,42.0,1.7
43,43.0,1.8
44,44.0,1.9
45,45.0,2.0
46,46.0,2.1
47,47.0,2.2
48,48.0,2.3
49,49.0,2.4
